電影ID,電影中文名,英譯,上映日期,片長,發行公司,IMDb分數,導演,演員,電影類型,分級
1,一世狂野,Blow,上映日期：2001-10-12,片　　長：02時03分,發行公司：邁拓娛樂,沒有評分,['泰德戴米(Ted Demme)'],"['強尼戴普(Johnny Depp)', '潘妮洛普克魯茲(Penelope Cruz)', '蕾秋葛莉芙(Rachel Griffiths)', '雷李歐塔(Lay Liotta)']","['劇情', '犯罪', '歷史/傳記']",限制級/R
2,玩命關頭,The Fast and the Furious,上映日期：2001-10-13,片　　長：01時47分,發行公司：UIP,沒有評分,['羅伯柯恩(Rob Cohen)'],"['馮迪索(Vin Diesel)', '蜜雪兒羅莉葛茲(Michelle Rodriguez)', '查德林伯(Chad Lindberg)', '喬丹娜布魯斯特(Jordana Brewster)', '保羅沃克(Paul Walker)']","['動作', '劇情', '犯罪', '懸疑/驚悚']",輔12級/PG12
3,戰雲密佈,Storm Catcher,上映日期：2001-10-13,片　　長：01時35分,發行公司：大來華展影業,沒有評分,['安東尼希寇克斯(Anthony Hickox)'],"['杜夫朗格(Dolph Lundgren)', '凱力白克斯(Kylie Bax)', '邁司楚克拉克(Mystro Clark)', '依芳在恩(Yvonne Zime)']","['動作', '犯罪', '懸疑/驚悚', '戰爭']",輔12級/PG12
4,騎士風雲錄,A Knight's Tale,上映日期：2001-10-19,片　　長：02時20分,發行公司：哥倫比亞,沒有評分,['布萊恩海格蘭(Brain Helgeland)'],"['希斯萊傑(Heath Ledger)', '保羅貝特尼(Paul Bettany)', '艾倫圖克(Alan Tudyk)', '馬克艾迪(Mark Addy)', '夏儂索莎蒙(Shannyn Sossamon)']","['動作', '冒險', '喜劇']",保護級/P
5,金法尤物,Legally Blonde,上映日期：2001-10-19,片　　長：01時34分,發行公司：福斯電影,沒有評分,['羅勃路提克(Robert Luketic)'],"['瑞絲薇斯朋(Reese Witherspoon)', '莎瑪布萊兒(Selma Blair)', '馬修戴維斯(Matthew Davis)', '維特賈勃(Victor Garber)']",['喜劇'],普遍級/G
6,瘋狂世界,Rat Race,上映日期：2001-11-02,片　　長：01時52分,發行公司：邁拓娛樂,沒有評分,['傑利祖克(Jerry Zucker)'],"['小古巴古汀(Cuba Gooding Jr.)', '琥碧戈珀(Whoopi Goldberg)', '羅溫艾金森(Rowan Atkinson)', '巴瑞金梅爾(Breckin Meyer )']","['冒險', '喜劇']",普遍級/G
7,震撼教育,Training Day,上映日期：2001-10-26,片　　長：02時03分,發行公司：華納,沒有評分,['安東尼法奎(Antoine Fuqua)'],"['丹佐華盛頓(Denzel Washington)', '伊森霍克(Ethan Hawke)', '湯姆貝林傑(Tom Berenger)', '史努比狗狗(Snoop Dogg)', 'Dr Dre(Dr Dre)']","['劇情', '犯罪', '懸疑/驚悚']",輔12級/PG12
8,神鬼第六感,The Others,上映日期：2001-10-24,片　　長：01時54分,發行公司：春暉影業,沒有評分,['亞歷山卓亞曼納巴(Alejandro Amenabar)'],"['妮可基嫚(Nicole Kidman)', '克里斯多夫艾柯遜(Christopher Eccleston)']","['劇情', '恐怖', '懸疑/驚悚']",輔12級/PG12
10,觸不到的戀人,il mare,上映日期：2001-11-03,片　　長：01時37分,發行公司：春暉影業,沒有評分,['李鉉升'],"['李政宰', '全智賢(Gianna Jun)']","['奇幻', '劇情', '愛情']",普遍級/G
11,北京樂與路,Beijing Rocks,上映日期：2001-11-10,片　　長：01時50分,發行公司：寰宇娛樂,沒有評分,['張婉婷'],"['舒淇(Shu Qi)', '耿樂', '吳彥祖']","['劇情', '愛情', '音樂/歌舞']",輔12級/PG12
12,晚孃,Jan Dara,上映日期：2001-11-03,片　　長：01時53分,發行公司：禾興娛樂,沒有評分,['朗斯尼美畢達(Nonzee Nimibutr)'],['鍾麗緹'],['劇情'],限制級/R
13,人間有情天,The Son's Room,上映日期：2001-11-17,片　　長：01時33分,發行公司：春暉影業,沒有評分,['南尼莫瑞提(Nanni Moretti)'],"['潔思敏婷卡(Jasmine Trinca)', '蘿拉莫倫(Laura Morante)', '南尼莫瑞提(Nanni Moretti)']",['劇情'],普遍級/G
14,美國派2,American Pie 2,上映日期：2001-11-10,片　　長：01時55分,發行公司：UIP,沒有評分,['JB羅傑斯(J.B. Rogers)'],"['尤金李維(Eugene Levy)', '艾莉森漢妮根(Alyson Hannigan)', '克里斯克萊(Chris Klein)', '娜塔莎李歐納(Natasha Lyonne)', '米娜蘇瓦莉(Mena Suvari)', '夏儂伊莉莎白(Shannon Elizabeth)', '傑森畢格斯(Jason Biggs)']","['喜劇', '愛情']",未分類
15,我和吸血鬼有份合約,Shadow of the Vampire,上映日期：2001-11-24,片　　長：01時31分,發行公司：優士電影,沒有評分,['伊里亞斯默海吉(Elias Merhige)'],"['約翰馬可維奇(John Malkovich)', '威廉達佛(Willem Dafoe)', '凱瑞艾文斯(Cary Elwes)', '凱薩琳麥寇(Catherine McCormack)', 'Aden Gillett(Aden Gillett)']","['劇情', '恐怖', '懸疑/驚悚']",未分類
18,千禧曼波,Millennium Mambo,上映日期：2001-11-17,片　　長：01時55分,發行公司：三視多媒體,沒有評分,['侯孝賢(Hou Hsiao-Hsien)'],"['舒淇(Shu Qi)', '段鈞豪', '高捷(Jack Kao)']",['劇情'],限制級/R
19,救世主,The One,上映日期：2001-12-07,片　　長：01時36分,發行公司：博偉電影,沒有評分,['詹姆斯王(James Wong)'],"['李連杰(Jet Li)', '凱拉古吉諾(Carla Gugino)', '傑森史塔森(Jason Statham)', '德瑞林多(Delroy Lindo)']","['動作', '科幻', '懸疑/驚悚']",輔12級/PG12
22,鬼計神偷,The Score,上映日期：2001-10-06,片　　長：02時00分,發行公司：UIP,沒有評分,['法蘭克歐茲(Frank Oz)'],"['勞勃狄尼洛(Robert De Niro)', '艾德華諾頓(Edward Norton)', '安琪拉貝瑟(Angela Bassett)', '馬龍白蘭度(Marlon Brando)']","['劇情', '犯罪', '懸疑/驚悚']",輔12級/PG12
23,少林足球,Shaolin Soccer,上映日期：2001-08-24,片　　長：01時42分,發行公司：邁拓娛樂,沒有評分,['周星馳(Stephen Chou)'],"['周星馳(Stephen Chou)', '谷德昭', '莫文蔚', '吳孟達', '謝賢', '張柏芝', '趙薇']","['動作', '喜劇']",保護級/P
24,史瑞克,Shrek,上映日期：2001-06-30,片　　長：01時40分,發行公司：UIP,沒有評分,"['安德魯亞當森(Andrew Adamson)', '薇琪詹森(Victoria Jenson)']","['艾迪墨菲(Eddie Murphy)', '邁克麥爾斯(Mike Myers)', '卡麥蓉狄亞(Cameron Diaz)']","['冒險', '奇幻', '喜劇', '溫馨/家庭', '動畫']",普遍級/G
25,枕邊陷阱,Original Sin,上映日期：2001-09-14,片　　長：01時56分,發行公司：福斯電影,沒有評分,['麥克克利斯多佛(Michael Cristofer)'],"['安潔莉娜裘莉(Angelina Jolie)', '安東尼奧班德拉斯(Antonio Banderas)', '傑克湯普森(Jack Thompson)']","['劇情', '懸疑/驚悚', '愛情']",限制級/R
26,心花怒放,Someone Like You,上映日期：2001-05-19,片　　長：01時40分,發行公司：福斯電影,沒有評分,['湯尼高德溫(Tony Goldwyn)'],"['休傑克曼(Hugh Jackman)', '梅莉莎托梅(Marisa Tomei)', '艾希莉賈德(Ashley Judd)', '奎格金尼爾 (Greg Kinnear)']","['喜劇', '愛情']",保護級/P
27,幽靈人間,Visible Secret,上映日期：2001-09-29,片　　長：未提供,發行公司：寰宇娛樂,沒有評分,['許鞍華'],"['舒淇(Shu Qi)', '陳奕迅', '李燦森']","['奇幻', '恐怖', '懸疑/驚悚']",限制級/R
